USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 169548  7328 ?        Ss   maj14   5:17 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    maj14   1:14 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   maj14   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   maj14   0:00 [rcu_par_gp]
root           9  0.0  0.0      0     0 ?        I<   maj14   0:00 [mm_percpu_wq]
root          10  0.0  0.0      0     0 ?        S    maj14   0:13 [ksoftirqd/0]
root          11  0.1  0.0      0     0 ?        I    maj14   8:50 [rcu_sched]
root          12  0.0  0.0      0     0 ?        S    maj14   0:02 [migration/0]
root          13  0.0  0.0      0     0 ?        S    maj14   0:00 [idle_inject/0]
root          14  0.0  0.0      0     0 ?        S    maj14   0:00 [cpuhp/0]
root          15  0.0  0.0      0     0 ?        S    maj14   0:00 [cpuhp/1]
root          16  0.0  0.0      0     0 ?        S    maj14   0:00 [idle_inject/1]
root          17  0.0  0.0      0     0 ?        S    maj14   0:02 [migration/1]
root          18  0.0  0.0      0     0 ?        S    maj14   0:08 [ksoftirqd/1]
root          21  0.0  0.0      0     0 ?        S    maj14   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    maj14   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    maj14   0:02 [migration/2]
root          24  0.0  0.0      0     0 ?        S    maj14   0:11 [ksoftirqd/2]
root          27  0.0  0.0      0     0 ?        S    maj14   0:00 [cpuhp/3]
root          28  0.0  0.0      0     0 ?        S    maj14   0:00 [idle_inject/3]
root          29  0.0  0.0      0     0 ?        S    maj14   0:02 [migration/3]
root          30  0.0  0.0      0     0 ?        S    maj14   0:07 [ksoftirqd/3]
root          33  0.0  0.0      0     0 ?        S    maj14   0:00 [kdevtmpfs]
root          34  0.0  0.0      0     0 ?        I<   maj14   0:00 [netns]
root          35  0.0  0.0      0     0 ?        S    maj14   0:00 [rcu_tasks_kthre]
root          36  0.0  0.0      0     0 ?        S    maj14   0:00 [kauditd]
